Number of Iterations: 226
X Poses,Y Poses
Iteration 1,"[[1.3, 1.05, 1.05, 0.25, 0.45], [0.25, 0.3, -0.4, -0.35, 0.2]]"
Iteration 2,"[[1.300018545274979, 1.0453189502725055, 1.0511510240981927, 0.2439603115741265, 0.4452799637184761], [0.2504330758028292, 0.3018601060966178, -0.40251286336595055, -0.3494636403119802, 0.2018216528823073]]"
Iteration 3,"[[1.3000335354568182, 1.040630276554875, 1.0522423003976777, 0.2379602211875141, 0.4407518733746027], [0.25081560718911194, 0.3036068227662919, -0.4048262893901623, -0.34894784151730057, 0.20374143482448703]]"
Iteration 4,"[[1.3000562847441686, 1.0360305834820482, 1.0532954882265253, 0.23200931836237018, 0.43631192022728216], [0.2511811324597226, 0.305347910481157, -0.40705741382217225, -0.3484465173537237, 0.20566150934118213]]"
Iteration 5,"[[1.3000768854214415, 1.0315317622957403, 1.0542311848258064, 0.22610360303129462, 0.43196301016011107], [0.25150521081350563, 0.30710889243900186, -0.40920232404855034, -0.34796787745477653, 0.20760035146397665]]"
Iteration 6,"[[1.3000065112186108, 1.0271205546288122, 1.0550186766563319, 0.22024924933939943, 0.4276987548888391], [0.25170634215133036, 0.3088896556323852, -0.411375244741514, -0.3475091480886737, 0.20957147790494648]]"
Iteration 7,"[[1.2998999031837564, 1.02280114622379, 1.0557407790573743, 0.21445252744788512, 0.423518304314203], [0.25189762884412226, 0.31072056053778774, -0.41348059965807826, -0.3470674532750952, 0.21160567060033528]]"
Iteration 8,"[[1.2997974176553235, 1.0185468480888622, 1.0563557819079663, 0.20872201738908527, 0.4194064798683294], [0.25206284694174, 0.3125930351433648, -0.4154874246217372, -0.3466371708473763, 0.21372521864047822]]"
Iteration 9,"[[1.2996200565457814, 1.0143566710303622, 1.0569030996602273, 0.203053445786936, 0.41532887672026864], [0.2522146000588653, 0.3145527609948886, -0.41744412126995445, -0.3462275113751632, 0.21592943735756254]]"
Iteration 10,"[[1.299405710320647, 1.0102090578565321, 1.0573854715776685, 0.19745375051386016, 0.4112596905604616], [0.2523266664264646, 0.31662897906257415, -0.4193464941483892, -0.34583377697145146, 0.21825061001514062]]"
Iteration 11,"[[1.299203279129851, 1.0060530135324273, 1.0578500850234243, 0.19192369701536946, 0.40709867948253564], [0.2524303092930958, 0.31879661180386754, -0.4211816162105827, -0.34545857049749473, 0.2205075713959599]]"
