Number of Iterations: 355
X Poses,Y Poses
Iteration 1,"[[1.3, 1.05, 1.05, 0.25, 0.45], [0.25, 0.3, -0.4, -0.35, 0.2]]"
Iteration 2,"[[1.3010578201506162, 1.0479420518800309, 1.0497849298393744, 0.24354776058523714, 0.44533211035146203], [0.2534484442050844, 0.3045140711146635, -0.40517434726252116, -0.35014091329078306, 0.2018730924900759]]"
Iteration 3,"[[1.3020940211535197, 1.045716875532884, 1.0495494365621514, 0.23710150036219774, 0.4407650787120797], [0.2567762424280672, 0.30911351216248734, -0.4103521245046348, -0.35026974109928843, 0.20374874357427625]]"
Iteration 4,"[[1.3031087257066516, 1.0432747583804056, 1.049233753163887, 0.2306608233270077, 0.43629263447694433], [0.25998946298720393, 0.31380599985860774, -0.4154751393404157, -0.35038535039374485, 0.2056304314500085]]"
Iteration 5,"[[1.3041197998923888, 1.040890163517323, 1.0488599467442417, 0.22422238127481714, 0.43191845511522087], [0.2629442177622361, 0.31849658373017464, -0.42048579111854073, -0.35048377696089816, 0.20753774998710206]]"
Iteration 6,"[[1.305106763654372, 1.0386085560023155, 1.048444209325108, 0.21779355693810784, 0.4276318513094952], [0.26580013397837676, 0.3231526843805201, -0.42531725526149766, -0.35057190142841904, 0.20947859483374573]]"
Iteration 7,"[[1.306008462525455, 1.0364444104299957, 1.0480256784381732, 0.2113693660426526, 0.42343281622825635], [0.26845259796869525, 0.3278645559667734, -0.43000455179967206, -0.3506436619101848, 0.21148447722031655]]"
Iteration 8,"[[1.3068377397352626, 1.0343266132975866, 1.0475651957391086, 0.20495373942909667, 0.4193006397150339], [0.2709779979820618, 0.3326326526415619, -0.4345230379079419, -0.3507023478055502, 0.21356697477106215]]"
Iteration 9,"[[1.3076452503047866, 1.0321929853861185, 1.0470994447829078, 0.19854719551742694, 0.41521156380132296], [0.2734205660330315, 0.3371526438008259, -0.4389097832949761, -0.3507474367056851, 0.21574414603969655]]"
Iteration 10,"[[1.3083701087421935, 1.030015783982977, 1.046625356912564, 0.19214958865119738, 0.4111368761637174], [0.27569076796680475, 0.3414769276086308, -0.443166150105852, -0.35077768301648493, 0.21804312180524985]]"
Iteration 11,"[[1.3090746604930037, 1.0278121314465272, 1.0461399816719261, 0.1857584391258023, 0.4069819278926175], [0.27788686627679204, 0.345646108021749, -0.44729247602011857, -0.35078948510693725, 0.22030590001037692]]"
Iteration 12,"[[1.309759222992626, 1.0256096056340567, 1.0455891536380344, 0.17937862050798076, 0.40272006474178546], [0.2800113766478028, 0.349701198096406, -0.45132902774674466, -0.350787012875452, 0.2225189644952434]]"
Iteration 13,"[[1.3104240926938038, 1.0233530218782274, 1.0450189224974087, 0.17301211837528804, 0.39832606925991865], [0.28206669658111355, 0.35365676769551824, -0.4552774140725118, -0.35077096880684955, 0.22468372077983517]]"
Iteration 14,"[[1.3109856900123549, 1.0210554518210804, 1.0443841165010392, 0.16665603676421717, 0.39376884815593155], [0.28405835569942167, 0.3575381713429513, -0.4591263134825715, -0.350736772587518, 0.22680430176725827]]"
Iteration 15,"[[1.3114814698477175, 1.0189998971122027, 1.0437356143070926, 0.16031468947670913, 0.3890084990308258], [0.2857743668492847, 0.3615135248048091, -0.46284321919915594, -0.3506877095522782, 0.2288783714094254]]"
Iteration 16,"[[1.3119708105391328, 1.017036533723404, 1.0430330245800838, 0.15399002372680984, 0.38405780599856476], [0.2873073525573283, 0.36555782765889105, -0.4665115653113118, -0.3506241337591525, 0.23089413338780093]]"
Iteration 17,"[[1.3124673363481647, 1.0151817160107872, 1.0422719179584954, 0.1476797225488865, 0.3792734879122948], [0.28870658752391254, 0.36971818605460216, -0.47001661187892446, -0.3505416320647809, 0.23297244325679878]]"
Iteration 18,"[[1.3129494055859352, 1.013319186614076, 1.041493200370042, 0.14138891888375427, 0.37458688393441286], [0.29006004997716317, 0.3739393727314435, -0.47342835402715755, -0.3504441072599681, 0.23516566444127063]]"
Iteration 19,"[[1.3133575571690037, 1.0114045845544353, 1.0407020644935292, 0.13512088464553718, 0.36991654221024317], [0.2913086377568816, 0.37819858797576955, -0.47671018875137944, -0.3503329475993758, 0.23750027627549375]]"
Iteration 20,"[[1.3137213212144518, 1.0094385359209952, 1.0398747647536581, 0.12887579539969612, 0.36534425478839316], [0.2924047855295039, 0.3825042247637976, -0.47994578126789755, -0.35020580243108, 0.23972342668754243]]"
Iteration 21,"[[1.314073202301086, 1.0074684198872665, 1.0390757601202625, 0.12265703865928049, 0.3609120735288989], [0.293464850940518, 0.38691199907734797, -0.4830279440903332, -0.3500639499462871, 0.24178458635094294]]"
Iteration 22,"[[1.314374961575811, 1.0054350538652665, 1.0381670872502016, 0.11646240650166845, 0.35658291213336774], [0.29435949661683414, 0.39136758423385787, -0.48603054998813044, -0.3499019637286321, 0.24371942515568534]]"
Iteration 23,"[[1.3145329051886985, 1.0034000817591306, 1.0372357653742268, 0.11029584283076845, 0.3523239717679505], [0.2949210656031458, 0.39594837110759173, -0.4890240959925134, -0.34972179108246976, 0.24555128135131735]]"
Iteration 24,"[[1.3146177533392431, 1.001325424649932, 1.0362458995260417, 0.10415300526032605, 0.3481134000133094], [0.29538356776320135, 0.40061329936794116, -0.4918396992784357, -0.3495152259059729, 0.24730394386533952]]"
Iteration 25,"[[1.3147016556961355, 0.99914579466249, 1.0352405216251128, 0.09803806438358634, 0.34395619898835084], [0.2958301500150884, 0.40527444601619317, -0.49459577191135434, -0.3492846990990404, 0.24904012812311827]]"
Iteration 26,"[[1.314784987981702, 0.996863330469423, 1.034215044214759, 0.09196008618877577, 0.3398901865887318], [0.29626107751290354, 0.40993087024476366, -0.49720965291636193, -0.3490384190953466, 0.2509101445965101]]"
Iteration 27,"[[1.3147923430862931, 0.9945129216757442, 1.0331756411215913, 0.08591565274286841, 0.3358770268554311], [0.29645745178599786, 0.41463346131704376, -0.4997651933908217, -0.34876825651063287, 0.25293572208007814]]"
Iteration 28,"[[1.3147513344155444, 0.9921059239826748, 1.0320655592881913, 0.07990562710618965, 0.33187475571476033], [0.2965041412698214, 0.41939918326900016, -0.5022006896726798, -0.3484718351687034, 0.25510304587754074]]"
Iteration 29,"[[1.314749168537811, 0.9896516774599196, 1.0309117093057458, 0.07393986049833119, 0.3278535134244211], [0.2964204915441043, 0.4240933224256137, -0.5045563123456486, -0.3481586784261187, 0.257400477507454]]"
Iteration 30,"[[1.3146446110947578, 0.9872361833030949, 1.0296887198061033, 0.06801534555611882, 0.3237937106511821], [0.29630220778919686, 0.42882537058018877, -0.5067894571038454, -0.3478203802854809, 0.2598264122764288]]"
Iteration 31,"[[1.314545726250371, 0.9848940169661227, 1.0284451937506756, 0.062142268294479594, 0.31967702502482875], [0.29607433700605423, 0.43340674103918014, -0.5089497932516992, -0.3474672115213039, 0.2623576212524035]]"
Iteration 32,"[[1.3143660938453499, 0.9825621091739313, 1.0271191490502178, 0.05631432264956401, 0.31549120558529636], [0.29563916178533517, 0.4380441855603252, -0.511045734181854, -0.347085346352455, 0.26497102984497223]]"
Iteration 33,"[[1.3141076305360875, 0.9801917244650844, 1.025781105841537, 0.05054356590420777, 0.31122953689191507], [0.29511259229111847, 0.4425426940839292, -0.5131015656401904, -0.34668866277253796, 0.26765378041334764]]"
Iteration 34,"[[1.3138031028527382, 0.977978298334243, 1.0244156840774081, 0.04483152763857965, 0.30688874560892343], [0.29445429801541917, 0.44687108238344675, -0.5150763249491179, -0.34627476295670323, 0.27040401114268214]]"
Iteration 35,"[[1.3134460287812544, 0.9758180507197999, 1.0230107355505509, 0.03918337975561265, 0.30246685465943246], [0.2937869452955014, 0.4511179415859174, -0.5169724550642705, -0.3458473706512927, 0.2732102105661019]]"
Iteration 36,"[[1.3129653007998545, 0.9736548303427872, 1.0216014994869522, 0.03360217928534552, 0.2979636756000856], [0.29292760779133575, 0.4553660589876267, -0.5188857250372777, -0.3454070633816877, 0.2760440651492524]]"
Iteration 37,"[[1.3125005252495816, 0.9715627205976302, 1.020194650794257, 0.02809508475452899, 0.29338015971938197], [0.2920966129798922, 0.4594746148496694, -0.5207391048520358, -0.3449623134316267, 0.27891025649919865]]"
Iteration 38,"[[1.3120370973460522, 0.9696115076670992, 1.018794920915174, 0.022665536293919094, 0.2887182546669884], [0.2910528002496613, 0.46348483334196755, -0.5225068694322356, -0.34451582672241904, 0.28180178367308295]]"
Iteration 39,"[[1.3115870903330433, 0.9677555556395566, 1.017310931176789, 0.017315453182742253, 0.2839807388020423], [0.28976891952243095, 0.46736835873087246, -0.5242728071156184, -0.3440685362936227, 0.2847094823885371]]"
Iteration 40,"[[1.3108894614603472, 0.9658113679279655, 1.0158757916490828, 0.012053687590545863, 0.27917136112796925], [0.2884296452575994, 0.47133423607945113, -0.5259822190889395, -0.3436379773606613, 0.287619575536055]]"
Iteration 41,"[[1.3101717631479415, 0.9638975183865405, 1.0143765025520197, 0.006880905506889946, 0.2742920286961126], [0.2870754182810754, 0.4751955797345417, -0.5276642916241753, -0.3432268801540524, 0.2905379326149887]]"
Iteration 42,"[[1.3094778106558544, 0.961996966734524, 1.0128838595368257, 0.0017988238518773722, 0.2693469314903454], [0.28576590112621636, 0.4789380736610167, -0.5292845359357816, -0.34284408657533233, 0.2934540174203383]]"
Iteration 43,"[[1.3087671651974335, 0.9601916901517923, 1.011393310181441, -0.003192538805942481, 0.2643389772908654], [0.2843307254512276, 0.482588206556816, -0.5308677142808026, -0.3424994353508173, 0.2963667490923751]]"
Iteration 44,"[[1.3079556977226616, 0.9584044665978784, 1.0098508897645018, -0.00809685441714681, 0.2592708491132764], [0.2828166171447596, 0.4861455603440111, -0.5324458341596673, -0.34219883104382187, 0.2992766868756079]]"
Iteration 45,"[[1.307075679453118, 0.9566752263424524, 1.0082849048046403, -0.012917157805952165, 0.2541463369763829], [0.28118678025148025, 0.4897108728705174, -0.5339213460956214, -0.34196075265112735, 0.30217845856374786]]"
Iteration 46,"[[1.3061469840378752, 0.9549748081413715, 1.0066977038117975, -0.017661072573598433, 0.2489680725257756], [0.2795442886922455, 0.4930839678215787, -0.5353639033552517, -0.3418035537115109, 0.3050723000178626]]"
Iteration 47,"[[1.3050737073316652, 0.9532833495038169, 1.0051125936963736, -0.02234297072547485, 0.2437409921630824], [0.2778494517837617, 0.496509588150867, -0.5367929599874747, -0.3417370268943282, 0.30794734250897393]]"
Iteration 48,"[[1.3040514090591364, 0.9516066147577452, 1.0034810880164404, -0.02698147406837044, 0.23846669721833363], [0.27611188862333186, 0.4997948438602931, -0.5381448766419705, -0.3417821757066042, 0.3108066289026073]]"
Iteration 49,"[[1.3029462096399034, 0.950019190538448, 1.0018582749667089, -0.031603979067118634, 0.23314758623911966], [0.2742476672328215, 0.5030267549014262, -0.5394592522364973, -0.34194625377964766, 0.3136498104880887]]"
Iteration 50,"[[1.3018696446004776, 0.948378107651716, 1.0002175849948793, -0.036245379475189694, 0.22778791974879767], [0.27234892132363053, 0.5061297547932668, -0.5407976167665736, -0.34223221668195425, 0.31646867571806797]]"
Iteration 51,"[[1.3007235069971048, 0.9467049531424958, 0.9985908144699053, -0.04094015625242166, 0.22238959146324078], [0.27054528340752193, 0.5092329851405311, -0.542071796869266, -0.34256563641204624, 0.3192630883745125]]"
Iteration 52,"[[1.2994973690831348, 0.9451120521097695, 0.9969732397366297, -0.045700726178565215, 0.21695067536230045], [0.2686350297833034, 0.5123257552195501, -0.5433062398127928, -0.3428068992189032, 0.32204685684984385]]"
Iteration 53,"[[1.2982508308066343, 0.9435874935939361, 0.9953511764785504, -0.05055523063912133, 0.2114795014291578], [0.2666196901884721, 0.5152875861560604, -0.5445672016024328, -0.3429740658626378, 0.3247982126900083]]"
Iteration 54,"[[1.296991639889761, 0.9420875272791853, 0.9937377971409586, -0.055530006058249606, 0.2059715074314685], [0.2645232800795035, 0.5181710470028831, -0.5458166381033314, -0.34304470148751454, 0.3275373287937868]]"
Iteration 55,"[[1.2957053868040371, 0.9406307871931328, 0.9920945971576481, -0.06066052074483944, 0.2004305788543627], [0.26248540971816914, 0.5210198707127403, -0.5469965960608746, -0.34300463522712954, 0.33025812669288335]]"
Iteration 56,"[[1.29434365805258, 0.9391833258138284, 0.9904294075553627, -0.06598112377283992, 0.19486167619821937], [0.26022833925709465, 0.5238591650443145, -0.5482386882744359, -0.34281725487974973, 0.3329499956162516]]"
Iteration 57,"[[1.292906753888808, 0.9376773011326293, 0.9887845565693166, -0.0712256243858812, 0.18926334509548157], [0.2580493387935045, 0.5266578118852383, -0.5494014599046853, -0.3427119822160189, 0.33562111939007516]]"
Iteration 58,"[[1.2915167173072297, 0.9361888145829077, 0.9870365202125342, -0.07640209185483103, 0.18363685425282647], [0.25594294662970474, 0.529296517270133, -0.5504599656611366, -0.34276722691974104, 0.338272089250795]]"
Iteration 59,"[[1.2901241943392758, 0.934809780682778, 0.9852515307101544, -0.0815987460019583, 0.17797858623995913], [0.25372208275495045, 0.5318606407613797, -0.5515114240618999, -0.34296230151841967, 0.34091805762149635]]"
