Number of Iterations: 216
X Poses,Y Poses
Iteration 1,"[[-1.2, -0.95, -0.95, -0.15000000000000002, -0.35000000000000003], [-0.25, -0.3, 0.4, 0.35, -0.2]]"
Iteration 2,"[[-1.20331740197675, -0.9477874189448778, -0.9525533582361866, -0.14343452637309015, -0.3458847561125943], [-0.25322308654831643, -0.30401999305418764, 0.40400247214483725, 0.35003287196661015, -0.2023145588127637]]"
Iteration 3,"[[-1.206580499010412, -0.9454797140568366, -0.9552394996889697, -0.13686809670788336, -0.34161706722020124], [-0.2565205051107674, -0.3078855066998704, 0.40799614360860964, 0.3500691296819477, -0.20459757337528536]]"
Iteration 4,"[[-1.209905766641475, -0.9430098880811536, -0.9578698735943946, -0.1302884165039489, -0.3372362310002574], [-0.2597967310140591, -0.31161778682065505, 0.4118101006220962, 0.3500969781495709, -0.20689390377427141]]"
Iteration 5,"[[-1.213313467043615, -0.9403479691211897, -0.9604174067754269, -0.12370437567341805, -0.33273655609048924], [-0.2630556278700241, -0.3152561483360894, 0.4154503367874959, 0.35012322061556544, -0.20920651143512342]]"
Iteration 6,"[[-1.2166269405018513, -0.937489931055323, -0.9627161671400499, -0.11710919296431249, -0.3281438024220447], [-0.2662279002394319, -0.31884240363124705, 0.4188031517662247, 0.3501317341502243, -0.2115570123588115]]"
Iteration 7,"[[-1.2198271150708464, -0.9345046056550027, -0.9648796816160968, -0.11052016676222123, -0.3234540841120869], [-0.26925263693287393, -0.3224378623874212, 0.4219932889558604, 0.3501337575446901, -0.21394440239560006]]"
Iteration 8,"[[-1.2228295630122998, -0.9312995708773915, -0.9668809592469164, -0.10393448615276614, -0.31866266542325494], [-0.27216745972521816, -0.3260250478300045, 0.4250211767643491, 0.35013120622452565, -0.2163660728464082]]"
Iteration 9,"[[-1.2257075785153644, -0.9279727535865079, -0.9687679854008181, -0.0973520817735426, -0.3137873160330488], [-0.27493703406631864, -0.32965454696526136, 0.4279289037950959, 0.350123729931353, -0.21883079640730765]]"
Iteration 10,"[[-1.228441722273656, -0.9245084975649193, -0.9705441131111002, -0.09077415957632051, -0.3088351143255094], [-0.2776284095763299, -0.333329424072246, 0.43067696452400955, 0.35010977204988475, -0.22134017190862343]]"
Iteration 11,"[[-1.2310468567953128, -0.920894497150701, -0.9722464458405325, -0.0842011899469895, -0.3038162893773033], [-0.28026142350749966, -0.33705196289061645, 0.4332634285484037, 0.3500883314811432, -0.2238965296494549]]"
Iteration 12,"[[-1.233543764855126, -0.9171748963151962, -0.9738438773491489, -0.07762865385113432, -0.29873026207163134], [-0.2827754374586149, -0.34083507905214294, 0.4357499256735391, 0.3500631041645008, -0.22649649909375094]]"
Iteration 13,"[[-1.2359434335256496, -0.9133755748435207, -0.975384140698276, -0.07105827749431592, -0.2935920220842807], [-0.2851911730068127, -0.344683979780835, 0.43814049805268923, 0.35003239816573095, -0.22914335574783024]]"
Iteration 14,"[[-1.2382062652577106, -0.9094665098360247, -0.9768249167999014, -0.06449083261451857, -0.2884013223138483], [-0.2875153976594949, -0.3485922356642824, 0.44044110351291604, 0.3499952195895808, -0.23183358610504037]]"
Iteration 15,"[[-1.240359952812861, -0.9055100685602675, -0.9782462778773341, -0.057926335340109276, -0.28316973554592656], [-0.2898493988881178, -0.35256685007136995, 0.44257713363799406, 0.34995120010510317, -0.23456839491508]]"
Iteration 16,"[[-1.2424300582787633, -0.9014834584558016, -0.9795739116772313, -0.05136338374017627, -0.2778938081908612], [-0.29208845770553965, -0.3566021854025946, 0.4446300934186548, 0.34990131551819564, -0.2373430688302794]]"
Iteration 17,"[[-1.2443551364815537, -0.8973084404397358, -0.9808181363676115, -0.04480141899535306, -0.27257282394111226], [-0.29428722944791225, -0.36068619679165626, 0.4465815878771514, 0.349845914078254, -0.24015381841090888]]"
Iteration 18,"[[-1.2462006692446084, -0.8930934978000983, -0.982020088943411, -0.03823336167461387, -0.2672053644487649], [-0.29641169577471155, -0.36482377678489364, 0.4484608096656425, 0.349791572854196, -0.242996522681089]]"
Iteration 19,"[[-1.2479753441309887, -0.8887892917998541, -0.9831363416581349, -0.031666907634602476, -0.2618069477851203], [-0.29845622751959383, -0.3690073349833239, 0.4502627311342082, 0.3497317751124917, -0.24587305894596495]]"
Iteration 20,"[[-1.2496759802737432, -0.8843932652487627, -0.9841728561297151, -0.02510118917895625, -0.25637161090775834], [-0.30040545579935274, -0.373231510840602, 0.4520123237259218, 0.349667151081449, -0.24877831116272098]]"
Iteration 21,"[[-1.2511753262379317, -0.8800387582376603, -0.9850985382650993, -0.01853512549984551, -0.25090414221151], [-0.3023216000522226, -0.3774990771850859, 0.45369223143510506, 0.34959863652913475, -0.2517106159079236]]"
Iteration 22,"[[-1.2526134263765927, -0.875582907705928, -0.9859513363777089, -0.011967319646282115, -0.24540053952344482], [-0.3041486983314761, -0.381801995040723, 0.4553218496972651, 0.34952759418291, -0.2546656109889751]]"
Iteration 23,"[[-1.2540006420937218, -0.8711156429205233, -0.9867312044983567, -0.005403732253530372, -0.2398796508262896], [-0.30591043017859115, -0.3861380667002654, 0.45687884990614014, 0.3494486456308789, -0.2576462011452887]]"
Iteration 24,"[[-1.2553324719761414, -0.8665751627377604, -0.9874431968650551, 0.0011626216033093287, -0.23432827783305235], [-0.30759063322712143, -0.39050260175675866, 0.45838765190191927, 0.34936784049222114, -0.2606460313454939]]"
Iteration 25,"[[-1.2565737910237902, -0.862002931291575, -0.9880327038746068, 0.007722269969805136, -0.22876016312320016], [-0.30917276219684997, -0.3948917706162425, 0.4598647967665678, 0.3492766511730467, -0.26366655133787104]]"
Iteration 26,"[[-1.2577671667211718, -0.8574460931207132, -0.9885846183544272, 0.01428487052870251, -0.2231689140088654], [-0.31064047554971674, -0.3993038892082105, 0.4613426562527664, 0.3491833139512526, -0.2667037997906283]]"
Iteration 27,"[[-1.258956651669895, -0.8528338763057187, -0.9890197198400588, 0.020844333388076217, -0.21755759230984376], [-0.3121134738579452, -0.40373679283104913, 0.46266361565230313, 0.34908250772759863, -0.26975638214440456]]"
Iteration 28,"[[-1.2600347834212045, -0.8481837619850175, -0.9893946371015099, 0.027410313665818115, -0.2119203279970725], [-0.3135488859810386, -0.40818658490504206, 0.46393325705543914, 0.3489828704602912, -0.27282047448733016]]"
Iteration 29,"[[-1.2610764975186306, -0.8435684690384785, -0.9896288476431221, 0.03396914298576435, -0.20626862948864852], [-0.31493433554136036, -0.4126513767477624, 0.4651129013336156, 0.3488724669654543, -0.275897078534446]]"
Iteration 30,"[[-1.2620451272753066, -0.8389611811679756, -0.9898532049712065, 0.040530498698259365, -0.20059638961780765], [-0.3162742893907515, -0.41699204861902733, 0.4662593272818235, 0.348759453037666, -0.2789828176845456]]"
Iteration 31,"[[-1.2629395248412196, -0.8344243459546743, -0.9899749692256081, 0.04709832876617153, -0.19489556769656377], [-0.31754889524818325, -0.4212210110762027, 0.46736503756720266, 0.34864780761764697, -0.2820734420021071]]"
Iteration 32,"[[-1.263800124640626, -0.8299083575053482, -0.9900507061956202, 0.053665924916119156, -0.18917636712403543], [-0.3187691589294807, -0.42531335834088013, 0.46842688504188573, 0.34853209493164716, -0.2851694651987181]]"
Iteration 33,"[[-1.264631503534865, -0.8254408656105753, -0.9901250397458129, 0.06023540321536788, -0.18344388686000376], [-0.3199465567425138, -0.4291590326900562, 0.46945051204103755, 0.3484142571731235, -0.28827067063248546]]"
Iteration 34,"[[-1.2654376214279286, -0.8210407680335412, -0.9901290434588951, 0.06680645540856589, -0.17769645587512062], [-0.3210909222119578, -0.43298354185151433, 0.4704044778899306, 0.34829424419171806, -0.29137531726011096]]"
Iteration 35,"[[-1.2660314682589078, -0.8166055569081764, -0.9901076122118955, 0.07337677195146507, -0.1719311663706115], [-0.3222671953657241, -0.43675232400591935, 0.47130994802205056, 0.348170119292265, -0.29448125099078076]]"
